building_count,total_risk,grid_id,grid_bounds,avg_risk
93.0,28.2962052226,575,"[[42.326641632300024, -83.100075000000032], [42.326641632300024, -83.092487000000034], [42.333130230600027, -83.092487000000034], [42.333130230600027, -83.100075000000032]]",0.304260271211
74.0,26.3652678728,576,"[[42.326641632300024, -83.092487000000034], [42.326641632300024, -83.084899000000036], [42.333130230600027, -83.084899000000036], [42.333130230600027, -83.092487000000034]]",0.356287403687
73.0,20.8848301172,577,"[[42.326641632300024, -83.084899000000036], [42.326641632300024, -83.077311000000037], [42.333130230600027, -83.077311000000037], [42.333130230600027, -83.084899000000036]]",0.28609356325
143.0,35.2164927721,578,"[[42.326641632300024, -83.077311000000037], [42.326641632300024, -83.069723000000039], [42.333130230600027, -83.069723000000039], [42.333130230600027, -83.077311000000037]]",0.246269180224
223.0,57.7958571911,579,"[[42.326641632300024, -83.069723000000039], [42.326641632300024, -83.06213500000004], [42.333130230600027, -83.06213500000004], [42.333130230600027, -83.069723000000039]]",0.259174247494
155.0,24.8328136504,580,"[[42.326641632300024, -83.06213500000004], [42.326641632300024, -83.054547000000042], [42.333130230600027, -83.054547000000042], [42.333130230600027, -83.06213500000004]]",0.16021170097
6349.0,2635.91982552,581,"[[42.326641632300024, -83.054547000000042], [42.326641632300024, -83.046959000000044], [42.333130230600027, -83.046959000000044], [42.333130230600027, -83.054547000000042]]",0.415170865573
468.0,63.476550281,582,"[[42.326641632300024, -83.046959000000044], [42.326641632300024, -83.039371000000045], [42.333130230600027, -83.039371000000045], [42.333130230600027, -83.046959000000044]]",0.135633654447
77.0,9.03525730967,583,"[[42.326641632300024, -83.039371000000045], [42.326641632300024, -83.031783000000047], [42.333130230600027, -83.031783000000047], [42.333130230600027, -83.039371000000045]]",0.117341004022
17.0,2.21378043294,584,"[[42.326641632300024, -83.031783000000047], [42.326641632300024, -83.024195000000049], [42.333130230600027, -83.024195000000049], [42.333130230600027, -83.031783000000047]]",0.130222378408
1.0,0.0846857428551,605,"[[42.333130230600027, -83.251835], [42.333130230600027, -83.244247000000001], [42.339618828900029, -83.244247000000001], [42.339618828900029, -83.251835]]",0.0846857428551
20.0,7.24573594332,606,"[[42.333130230600027, -83.244247000000001], [42.333130230600027, -83.236659000000003], [42.339618828900029, -83.236659000000003], [42.339618828900029, -83.244247000000001]]",0.362286797166
331.0,111.393996239,607,"[[42.333130230600027, -83.236659000000003], [42.333130230600027, -83.229071000000005], [42.339618828900029, -83.229071000000005], [42.339618828900029, -83.236659000000003]]",0.336537752987
304.0,103.962030023,608,"[[42.333130230600027, -83.229071000000005], [42.333130230600027, -83.221483000000006], [42.339618828900029, -83.221483000000006], [42.339618828900029, -83.229071000000005]]",0.341980361919
1294.0,549.381914198,609,"[[42.333130230600027, -83.221483000000006], [42.333130230600027, -83.213895000000008], [42.339618828900029, -83.213895000000008], [42.339618828900029, -83.221483000000006]]",0.424560984697
137.0,49.631896466,610,"[[42.333130230600027, -83.213895000000008], [42.333130230600027, -83.20630700000001], [42.339618828900029, -83.20630700000001], [42.339618828900029, -83.213895000000008]]",0.36227661654
111.0,36.0245170891,611,"[[42.333130230600027, -83.20630700000001], [42.333130230600027, -83.198719000000011], [42.339618828900029, -83.198719000000011], [42.339618828900029, -83.20630700000001]]",0.324545199001
82.0,30.5549640357,612,"[[42.333130230600027, -83.198719000000011], [42.333130230600027, -83.191131000000013], [42.339618828900029, -83.191131000000013], [42.339618828900029, -83.198719000000011]]",0.372621512631
4.0,1.93165382743,613,"[[42.333130230600027, -83.191131000000013], [42.333130230600027, -83.183543000000014], [42.339618828900029, -83.183543000000014], [42.339618828900029, -83.191131000000013]]",0.482913456857
